56.25	26.2	NAN	
56.5	26.2	NAN	
56.75	26.2	NAN	
57	26.2	NAN	
57.25	26.2	NAN	
57.5	26.2	NAN	
57.75	27.5	NAN	
58	27.5	NAN	
58.25	29.4	NAN	
58.5	29.4	NAN	
58.75	28.1	NAN	
59	28.1	NAN	
59.25	28.1	NAN	
59.5	29.4	NAN	
59.75	30	NAN	
60	30	NAN	
60.25	30	NAN	
60.5	30	NAN	
60.75	30	NAN	
61	30	NAN	
61.25	30	NAN	
61.5	30	NAN	
61.75	30	NAN	
62	30	NAN	
62.25	30	NAN	
62.5	30	NAN	
62.75	30	NAN	
63	30	NAN	
63.25	30	NAN	
63.5	30	NAN	
63.75	30	NAN	
64	30	NAN	
64.25	30	NAN	
64.5	28.8	NAN	
64.75	29.4	NAN	
65	29.4	NAN	
65.25	28.1	NAN	
65.5	28.1	NAN	
65.75	28.1	NAN	
66	28.1	NAN	
66.25	28.1	NAN	
66.5	28.1	NAN	
66.75	28.1	NAN	
67	28.1	NAN	
67.25	28.1	NAN	
67.5	28.1	NAN	
67.75	28.1	NAN	
68	28.1	NAN	
68.25	28.1	NAN	
68.5	28.1	NAN	
68.75	26.8	NAN	
69	30	NAN	
69.25	30	NAN	
69.5	30	NAN	
69.75	30	NAN	
70	30	NAN	
70.25	30	NAN	
70.5	30	NAN	
70.75	30	NAN	
71	30	NAN	
71.25	30	NAN	
71.5	30	NAN	
71.75	30	NAN	
72	30	NAN	
72.25	30	NAN	
72.5	30	NAN	
72.75	30	NAN	
73	30	NAN	
73.25	30	NAN	
73.5	30	NAN	
73.75	30	NAN	
74	30	NAN	
74.25	30	NAN	
74.5	30	NAN	
74.75	30	NAN	
75	27.5	NAN	
75.25	29.4	NAN	
75.5	29.4	NAN	
75.75	29.4	NAN	
76	29.4	NAN	
76.25	29.4	NAN	
76.5	29.4	NAN	
76.75	29.4	NAN	
77	29.4	NAN	
77.25	29.4	NAN	
77.5	29.4	NAN	
77.75	29.4	NAN	
78	28.8	NAN	
78.25	29.4	NAN	
78.5	30	NAN	
78.75	30	NAN	
79	30	NAN	
79.25	30	NAN	
79.5	30	NAN	
79.75	30	NAN	
80	30	NAN	
80.25	30	NAN	
80.5	30	NAN	
80.75	30	NAN	
81	30	NAN	
81.25	30	NAN	
81.5	30	NAN	
81.75	30	NAN	
82	30	NAN	
82.25	30	NAN	
82.5	30	NAN	
82.75	30	NAN	
83	30	NAN	
83.25	30	NAN	
83.5	30	NAN	
83.75	30	NAN	
84	30	NAN	
84.25	30	NAN	
