 0.00000e+00, 1.00000e+02, 1.00000e+01
 1.00000e+00, 9.00000e+01, 9.48683e+00
 2.00000e+00, 7.90000e+01, 8.88819e+00
 3.00000e+00, 6.70000e+01, 8.18535e+00
 4.00000e+00, 5.70000e+01, 7.54983e+00
 5.00000e+00, 4.70000e+01, 6.85565e+00
 6.00000e+00, 3.70000e+01, 6.08276e+00
 7.00000e+00, 3.40000e+01, 5.83095e+00
 8.00000e+00, 3.00000e+01, 5.47723e+00
 9.00000e+00, 2.60000e+01, 5.09902e+00
 1.00000e+01, 2.20000e+01, 4.69042e+00
 1.10000e+01, 2.00000e+01, 4.47214e+00
 1.20000e+01, 1.70000e+01, 4.12311e+00
 1.30000e+01, 1.30000e+01, 3.60555e+00
