 0.00000e+00, 1.00000e+04, 1.00000e+02
 1.00000e+00, 8.97200e+03, 9.47206e+01
 2.00000e+00, 8.08600e+03, 8.99222e+01
 3.00000e+00, 7.25900e+03, 8.51998e+01
 4.00000e+00, 6.56000e+03, 8.09938e+01
 5.00000e+00, 5.87600e+03, 7.66551e+01
 6.00000e+00, 5.25500e+03, 7.24914e+01
 7.00000e+00, 4.73500e+03, 6.88113e+01
 8.00000e+00, 4.24500e+03, 6.51537e+01
 9.00000e+00, 3.80000e+03, 6.16441e+01
 1.00000e+01, 3.43800e+03, 5.86345e+01
 1.10000e+01, 3.09000e+03, 5.55878e+01
 1.20000e+01, 2.79900e+03, 5.29056e+01
 1.30000e+01, 2.50400e+03, 5.00400e+01
 1.40000e+01, 2.21900e+03, 4.71063e+01
 1.50000e+01, 1.97800e+03, 4.44747e+01
 1.60000e+01, 1.76500e+03, 4.20119e+01
 1.70000e+01, 1.58700e+03, 3.98372e+01
 1.80000e+01, 1.43900e+03, 3.79342e+01
 1.90000e+01, 1.31100e+03, 3.62077e+01
 2.00000e+01, 1.16600e+03, 3.41467e+01
 2.10000e+01, 1.06200e+03, 3.25883e+01
 2.20000e+01, 9.39000e+02, 3.06431e+01
 2.30000e+01, 8.45000e+02, 2.90689e+01
 2.40000e+01, 7.61000e+02, 2.75862e+01
 2.50000e+01, 6.78000e+02, 2.60384e+01
 2.60000e+01, 6.30000e+02, 2.50998e+01
 2.70000e+01, 5.64000e+02, 2.37487e+01
 2.80000e+01, 5.13000e+02, 2.26495e+01
 2.90000e+01, 4.67000e+02, 2.16102e+01
 3.00000e+01, 4.21000e+02, 2.05183e+01
 3.10000e+01, 3.69000e+02, 1.92094e+01
 3.20000e+01, 3.37000e+02, 1.83576e+01
 3.30000e+01, 3.08000e+02, 1.75499e+01
 3.40000e+01, 2.82000e+02, 1.67929e+01
 3.50000e+01, 2.52000e+02, 1.58745e+01
 3.60000e+01, 2.30000e+02, 1.51658e+01
 3.70000e+01, 2.11000e+02, 1.45258e+01
 3.80000e+01, 1.92000e+02, 1.38564e+01
 3.90000e+01, 1.77000e+02, 1.33041e+01
 4.00000e+01, 1.62000e+02, 1.27279e+01
 4.10000e+01, 1.47000e+02, 1.21244e+01
 4.20000e+01, 1.28000e+02, 1.13137e+01
 4.30000e+01, 1.20000e+02, 1.09545e+01
 4.40000e+01, 1.11000e+02, 1.05357e+01
 4.50000e+01, 1.02000e+02, 1.00995e+01
 4.60000e+01, 9.20000e+01, 9.59166e+00
 4.70000e+01, 8.40000e+01, 9.16515e+00
 4.80000e+01, 8.00000e+01, 8.94427e+00
 4.90000e+01, 7.00000e+01, 8.36660e+00
 5.00000e+01, 6.00000e+01, 7.74597e+00
 5.10000e+01, 5.40000e+01, 7.34847e+00
 5.20000e+01, 4.60000e+01, 6.78233e+00
 5.30000e+01, 4.50000e+01, 6.70820e+00
 5.40000e+01, 4.30000e+01, 6.55744e+00
 5.50000e+01, 4.20000e+01, 6.48074e+00
 5.60000e+01, 4.00000e+01, 6.32456e+00
 5.70000e+01, 3.50000e+01, 5.91608e+00
 5.80000e+01, 3.10000e+01, 5.56776e+00
 5.90000e+01, 2.50000e+01, 5.00000e+00
 6.00000e+01, 2.10000e+01, 4.58258e+00
 6.10000e+01, 2.10000e+01, 4.58258e+00
 6.20000e+01, 1.90000e+01, 4.35890e+00
 6.30000e+01, 1.60000e+01, 4.00000e+00
 6.40000e+01, 1.60000e+01, 4.00000e+00
 6.50000e+01, 1.40000e+01, 3.74166e+00
 6.60000e+01, 1.30000e+01, 3.60555e+00
 6.70000e+01, 1.10000e+01, 3.31662e+00
